FOLIO,CONCESIONARIO,K_GRUPO,GRUPO,ANIO,MES,FECHA,K_EMPRESA,EMPRESA,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_AMBOS_E,S_NO_ESPECIFICADO_E,S_TOTAL_E
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,10,15-oct-14,C0378,MEGACABLE,2764,12,,,2776
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,11,15-nov-14,C0378,MEGACABLE,2863,13,,,2876
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2014,12,15DEC2014,C0378,MEGACABLE,2963,14,,,2977
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,1,15JAN2015,C0378,MEGACABLE,3039,15,,,3054
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,2,15-feb-15,C0378,MEGACABLE,3062,15,,,3077
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,3,15-mar-15,C0378,MEGACABLE,3071,15,,,3086
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,4,15APR2015,C0378,MEGACABLE,3115,59,,,3174
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,5,15-may-15,C0378,MEGACABLE,3173,61,,,3234
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,6,15-jun-15,C0378,MEGACABLE,3191,58,,,3249
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,7,15-jul-15,C0378,MEGACABLE,3169,77,,,3246
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,8,15AUG2015,C0378,MEGACABLE,3207,70,,,3277
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,9,15-sep-15,C0378,MEGACABLE,3280,74,,,3354
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,10,15-oct-15,C0378,MEGACABLE,3380,87,,,3467
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,11,15-nov-15,C0378,MEGACABLE,3531,79,,,3610
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2015,12,15DEC2015,C0378,MEGACABLE,3826,85,,,3911
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2016,1,15JAN2016,C0378,MEGACABLE,4082,121,,,4203
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2016,2,15-feb-16,C0378,MEGACABLE,4087,137,,,4224
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2016,3,15-mar-16,C0378,MEGACABLE,4098,131,,,4229
