FECHA,GRUPO,MARKET_SHARE
15DEC2012,DISH-MVS,0.16562
15JAN2013,CABLEVISION RED,0.03126
15JAN2013,ULTRAVISION,0.00342
15JAN2013,AXTEL,0.00035
15JAN2013,TOTALPLAY,0.0027
15JAN2013,GRUPO TELEVISA,0.5612
15JAN2013,CABLECOM,0.05575
15JAN2013,MAXCOM,0.00555
15JAN2013,MEGACABLE-MCM,0.16719
15JAN2013,AIRECABLE,0.0011
15JAN2013,TV REY,0.00175
15JAN2013,DISH-MVS,0.16972
15-feb-13,AXTEL,0.00073
15-feb-13,AIRECABLE,0.00108
15-feb-13,CABLECOM,0.05532
15-feb-13,CABLEVISION RED,0.03133
15-feb-13,TOTALPLAY,0.00281
15-feb-13,MEGACABLE-MCM,0.16501
15-feb-13,MAXCOM,0.00552
15-feb-13,ULTRAVISION,0.00333
15-feb-13,GRUPO TELEVISA,0.56332
15-feb-13,TV REY,0.00176
15-feb-13,DISH-MVS,0.1698
15-mar-13,AXTEL,0.00115
15-mar-13,ULTRAVISION,0.00333
15-mar-13,AIRECABLE,0.00106
15-mar-13,CABLEVISION RED,0.03109
15-mar-13,TOTALPLAY,0.00289
15-mar-13,CABLECOM,0.05519
15-mar-13,MAXCOM,0.0054
15-mar-13,MEGACABLE-MCM,0.16449
15-mar-13,GRUPO TELEVISA,0.56621
15-mar-13,DISH-MVS,0.16742
15-mar-13,TV REY,0.00177
15APR2013,AXTEL,0.00153
15APR2013,AIRECABLE,0.00106
15APR2013,CABLECOM,0.05563
15APR2013,CABLEVISION RED,0.03107
15APR2013,TOTALPLAY,0.00301
15APR2013,TV REY,0.00177
15APR2013,MEGACABLE-MCM,0.16319
15APR2013,MAXCOM,0.00537
15APR2013,ULTRAVISION,0.00326
15APR2013,GRUPO TELEVISA,0.56856
15APR2013,DISH-MVS,0.16553
15-may-13,CABLECOM,0.05562
15-may-13,AXTEL,0.0019
15-may-13,AIRECABLE,0.00107
15-may-13,GRUPO TELEVISA,0.57272
15-may-13,CABLEVISION RED,0.03101
15-may-13,TOTALPLAY,0.00323
15-may-13,ULTRAVISION,0.00321
15-may-13,MEGACABLE-MCM,0.16174
15-may-13,MAXCOM,0.00537
15-may-13,TV REY,0.00179
15-may-13,DISH-MVS,0.16233
15-jun-13,AXTEL,0.0023
15-jun-13,CABLECOM,0.05449
15-jun-13,CABLEVISION RED,0.03097
15-jun-13,TOTALPLAY,0.00347
15-jun-13,AIRECABLE,0.00108
15-jun-13,MEGACABLE-MCM,0.16195
15-jun-13,MAXCOM,0.00537
